('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      121    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      114    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      103    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      102    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      100    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
    84/82    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
    84/78    0.000    0.000    0.002    0.000 typing.py:392(inner)
    77/44    0.000    0.000    0.112    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
